[INFO ] 2024-02-13 09:38:50.546 [LCE.App.main(App.java:37)-main] App - [33m==========================================================[0m
[INFO ] 2024-02-13 09:38:50.548 [LCE.App.main(App.java:38)-main] App - [33m[status] App Initiated[0m
[TRACE] 2024-02-13 09:38:50.549 [LCE.App.loadProperties(App.java:171)-loadProperties] App - [34m[status] > loading properties[0m
[TRACE] 2024-02-13 09:38:50.549 [LCE.App.loadProperties(App.java:175)-loadProperties] App - [32m[status] > properties loaded[0m
[INFO ] 2024-02-13 09:38:50.549 [LCE.App.main(App.java:45)-main] App - [33m[status] Properties file loaded[0m
[INFO ] 2024-02-13 09:38:50.550 [LCE.App.main(App.java:46)-main] App - [33m[status] running LCE[0m
[TRACE] 2024-02-13 09:38:50.552 [LCE.App.run(App.java:66)-run] App - [34m[status] > running executor...[0m
[TRACE] 2024-02-13 09:39:01.032 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 7 is removed
[TRACE] 2024-02-13 09:39:01.032 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 8 is removed
[TRACE] 2024-02-13 09:39:01.032 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 27 is removed
[TRACE] 2024-02-13 09:39:01.033 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 28 is removed
[TRACE] 2024-02-13 09:39:01.033 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 45 is removed
[TRACE] 2024-02-13 09:39:01.033 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 66 is removed
[TRACE] 2024-02-13 09:39:01.034 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 70 is removed
[TRACE] 2024-02-13 09:39:01.034 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 71 is removed
[TRACE] 2024-02-13 09:39:01.034 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 72 is removed
[TRACE] 2024-02-13 09:39:01.034 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 73 is removed
[TRACE] 2024-02-13 09:39:01.034 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 77 is removed
[TRACE] 2024-02-13 09:39:01.035 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 78 is removed
[TRACE] 2024-02-13 09:39:01.035 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 87 is removed
[TRACE] 2024-02-13 09:39:01.035 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 88 is removed
[TRACE] 2024-02-13 09:39:01.035 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 89 is removed
[TRACE] 2024-02-13 09:39:01.035 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 90 is removed
[TRACE] 2024-02-13 09:39:01.036 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 91 is removed
[TRACE] 2024-02-13 09:39:01.036 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 92 is removed
[TRACE] 2024-02-13 09:39:01.036 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 113 is removed
[TRACE] 2024-02-13 09:39:01.036 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 114 is removed
[TRACE] 2024-02-13 09:39:01.036 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 129 is removed
[TRACE] 2024-02-13 09:39:01.037 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 135 is removed
[TRACE] 2024-02-13 09:39:01.037 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 137 is removed
[TRACE] 2024-02-13 09:39:01.037 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 140 is removed
[TRACE] 2024-02-13 09:39:01.037 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 141 is removed
[TRACE] 2024-02-13 09:39:01.037 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 144 is removed
[TRACE] 2024-02-13 09:39:01.038 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 159 is removed
[TRACE] 2024-02-13 09:39:01.038 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 160 is removed
[TRACE] 2024-02-13 09:39:01.038 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 161 is removed
[TRACE] 2024-02-13 09:39:01.038 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 162 is removed
[TRACE] 2024-02-13 09:39:01.038 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 163 is removed
[TRACE] 2024-02-13 09:39:01.038 [LCE.Extractor.sync_removal(Extractor.java:233)-sync_removal] Extractor - [debug] index 164 is removed
